 1000         4,44056       -144,17        
 1010         4,45121       -144,96        
 1020         4,46568       -145,63        
 1030         4,48417       -146,50        
 1040         4,50962       -147,56        
 1050         4,52539       -148,64        
 1060         4,54892       -149,79        
 1070         4,55639       -150,98        
 1080         4,55367       -152,06        
 1090         4,52873       -153,11        
 1100         4,49451       -154,10        
 1110         4,44811       -155,04        
 1120         4,40867       -155,84        
 1130         4,35843       -156,61        
 1140         4,31272       -157,24        
 1150         4,26513       -157,80        
 1160         4,21426       -158,33        
 1170         4,1595        -158,88        
 1180         4,11714       -159,52        
 1190         4,08999       -160,19        
 1200         4,07606       -160,88        
 1210         4,07513       -161,65        
 1220         4,07227       -162,43        
 1230         4,0765        -163,26        
 1240         4,07841       -164,19        
 1250         4,07197       -165,09        
 1260         4,07739       -166,05        
 1270         4,07997       -167,02        
 1280         4,0786        -167,98        
 1290         4,06889       -168,88        
 1300         4,0473        -169,81        
 1310         4,00398       -170,72        
 1320         3,95696       -171,66        
 1330         3,90016       -172,66        
 1340         3,84018       -173,65        
 1350         3,77898       -174,58        
 1360         3,72087       -175,53        
 1370         3,6618        -176,45        
 1380         3,60312       -177,41        
 1390         3,54067       -178,43        
 1400         3,49254       -179,46        
 1410         3,4523        179,45         
 1420         3,41887       178,37         
 1430         3,3869        177,34         
 1440         3,35643       176,34         
 1450         3,32328       175,35         
 1460         3,29089       174,33         
 1470         3,26419       173,27         
 1480         3,22998       172,17         
 1490         3,19867       171,10         
 1500         3,18497       170,04         
 1510         3,13908       168,97         
 1520         3,09044       167,95         
 1530         3,04092       166,92         
 1540         3,00334       165,81         
 1550         2,94146       164,58         
 1560         2,85292       163,36         
 1570         2,77272       162,14         
 1580         2,706         160,81         
 1590         2,64691       159,33         
 1600         2,58078       157,77         
 1610         2,50927       156,36         
 1620         2,45701       154,96         
 1630         2,40803       153,58         
 1640         2,36376       152,14         
 1650         2,30314       150,67         
 1660         2,23885       149,37         
 1670         2,19729       148,20         
 1680         2,16253       146,96         
 1690         2,10604       145,78         
 1700         2,03606       144,75         
 1710         1,96745       143,67         
 1720         1,90976       142,56         
 1730         1,84693       141,23         
 1740         1,77356       139,92         
 1750         1,69551       138,60         
 1760         1,62802       137,20         
 1770         1,57261       135,65         
 1780         1,5173        134,00         
 1790         1,44026       132,20         
 1800         1,36187       130,46         
 1810         1,31791       128,70         
 1820         1,28254       126,87         
 1830         1,23334       125,06         
 1840         1,17359       123,43         
 1850         1,12481       121,91         
 1860         1,0802        120,42         
 1870         1,02925       118,97         
 1880         0,97257       117,68         
 1890         0,91608       116,55         
 1900         0,8652        115,45         
 1910         0,81907       114,32         
 1920         0,76878       113,19         
 1930         0,69675       112,03         
 1940         0,61687       110,83         
 1950         0,55222       109,51         
 1960         0,50352       108,00         
 1970         0,4389        106,42         
 1980         0,37184       104,73         
 1990         0,31967       102,96         
 2000         0,27813       101,02         
 2010         0,23726       99,00          
 2020         0,20094       96,98          
 2030         0,17227       95,00          
 2040         0,1523        93,05          
 2050         0,14321       91,10          
 2060         0,13045       89,26          
 2070         0,11228       87,61          
 2080         0,08197       86,03          
 2090         0,0542        84,56          
 2100         0,03355       83,12          
 2110         -0,00648      81,78          
 2120         -0,04902      80,47          
 2130         -0,09901      79,09          
 2140         -0,14906      77,68          
 2150         -0,19623      76,17          
 2160         -0,2541       74,59          
 2170         -0,30228      72,96          
 2180         -0,33157      71,16          
 2190         -0,35226      69,25          
 2200         -0,36037      67,22          
 2210         -0,36514      65,18          
 2220         -0,36002      63,15          
 2230         -0,35473      61,16          
 2240         -0,34463      59,28          
 2250         -0,32257      57,47          
 2260         -0,31174      55,78          
 2270         -0,29651      54,17          
 2280         -0,29279      52,74          
 2290         -0,29093      51,41          
 2300         -0,29911      50,22          
 2310         -0,31275      49,12          
 2320         -0,32323      48,01          
 2330         -0,33492      46,81          
 2340         -0,34233      45,54          
 2350         -0,35732      44,21          
 2360         -0,37354      42,80          
 2370         -0,38264      41,27          
 2380         -0,38855      39,67          
 2390         -0,38247      37,91          
 2400         -0,37301      36,02          
 2410         -0,35628      34,11          
 2420         -0,33619      32,19          
 2430         -0,31019      30,31          
 2440         -0,28245      28,54          
 2450         -0,25422      26,89          
 2460         -0,22447      25,37          
 2470         -0,19423      23,93          
 2480         -0,16581      22,58          
 2490         -0,14219      21,36          
 2500         -0,12699      20,23          
 2510         -0,11941      19,14          
 2520         -0,11295      18,09          
 2530         -0,11174      17,00          
 2540         -0,10846      15,84          
 2550         -0,10604      14,61          
 2560         -0,10468      13,31          
 2570         -0,09991      11,92          
 2580         -0,09035      10,46          
 2590         -0,07525      8,97           
 2600         -0,05471      7,44           
 2610         -0,02525      5,84           
 2620         0,01318       4,22           
 2630         0,04808       2,62           
 2640         0,08575       1,09           
 2650         0,12206       -0,37          
 2660         0,15544       -1,76          
 2670         0,18589       -3,07          
 2680         0,21085       -4,33          
 2690         0,22948       -5,56          
 2700         0,24406       -6,72          
 2710         0,25178       -7,87          
 2720         0,25458       -9,00          
 2730         0,25738       -10,07         
 2740         0,25805       -11,16         
 2750         0,26252       -12,33         
 2760         0,27075       -13,58         
 2770         0,28198       -14,86         
