 1000         -1,14106      -54,69         
 1010         -1,17613      -55,11         
 1020         -1,20992      -55,62         
 1030         -1,23599      -56,16         
 1040         -1,25521      -56,71         
 1050         -1,26882      -57,31         
 1060         -1,27879      -57,93         
 1070         -1,27746      -58,59         
 1080         -1,2677       -59,31         
 1090         -1,25042      -60,07         
 1100         -1,22984      -60,83         
 1110         -1,20325      -61,62         
 1120         -1,18023      -62,41         
 1130         -1,15465      -63,22         
 1140         -1,13587      -64,00         
 1150         -1,12108      -64,75         
 1160         -1,11378      -65,46         
 1170         -1,10677      -66,15         
 1180         -1,10431      -66,81         
 1190         -1,1045       -67,40         
 1200         -1,11408      -67,98         
 1210         -1,1259       -68,54         
 1220         -1,13327      -69,11         
 1230         -1,14149      -69,71         
 1240         -1,14969      -70,28         
 1250         -1,15106      -70,91         
 1260         -1,1517       -71,56         
 1270         -1,14877      -72,23         
 1280         -1,14378      -72,93         
 1290         -1,13584      -73,64         
 1300         -1,12444      -74,34         
 1310         -1,10975      -75,06         
 1320         -1,09446      -75,75         
 1330         -1,07549      -76,44         
 1340         -1,05888      -77,08         
 1350         -1,04243      -77,71         
 1360         -1,03453      -78,31         
 1370         -1,02577      -78,92         
 1380         -1,02039      -79,50         
 1390         -1,01631      -80,05         
 1400         -1,0111       -80,61         
 1410         -1,00792      -81,17         
 1420         -1,00074      -81,73         
 1430         -0,99278      -82,33         
 1440         -0,98427      -82,93         
 1450         -0,97415      -83,59         
 1460         -0,96255      -84,25         
 1470         -0,94872      -84,94         
 1480         -0,9349       -85,60         
 1490         -0,92233      -86,24         
 1500         -0,9143       -86,90         
 1510         -0,8983       -87,58         
 1520         -0,88639      -88,24         
 1530         -0,87205      -88,87         
 1540         -0,85633      -89,47         
 1550         -0,84419      -90,07         
 1560         -0,82974      -90,63         
 1570         -0,81855      -91,19         
 1580         -0,81012      -91,72         
 1590         -0,79414      -92,22         
 1600         -0,78112      -92,73         
 1610         -0,77433      -93,26         
 1620         -0,76625      -93,78         
 1630         -0,75322      -94,32         
 1640         -0,73427      -94,92         
 1650         -0,71046      -95,55         
 1660         -0,69387      -96,19         
 1670         -0,67383      -96,87         
 1680         -0,64505      -97,59         
 1690         -0,62039      -98,29         
 1700         -0,59414      -99,02         
 1710         -0,57066      -99,74         
 1720         -0,55538      -100,42        
 1730         -0,52731      -101,04        
 1740         -0,50384      -101,63        
 1750         -0,48655      -102,15        
 1760         -0,47127      -102,64        
 1770         -0,45899      -103,08        
 1780         -0,44379      -103,52        
 1790         -0,42991      -103,99        
 1800         -0,41637      -104,45        
 1810         -0,40573      -104,91        
 1820         -0,39379      -105,42        
 1830         -0,37579      -105,97        
 1840         -0,35387      -106,59        
 1850         -0,33385      -107,29        
 1860         -0,31535      -108,02        
 1870         -0,28641      -108,81        
 1880         -0,25086      -109,66        
 1890         -0,21939      -110,50        
 1900         -0,18979      -111,33        
 1910         -0,16191      -112,12        
 1920         -0,12911      -112,89        
 1930         -0,10435      -113,65        
 1940         -0,07696      -114,31        
 1950         -0,04956      -114,91        
 1960         -0,0311       -115,45        
 1970         -0,00929      -115,94        
 1980         0,01408       -116,40        
 1990         0,0318        -116,79        
 2000         0,04597       -117,18        
 2010         0,05827       -117,55        
 2020         0,07965       -117,95        
 2030         0,098         -118,36        
 2040         0,11207       -118,78        
 2050         0,12524       -119,27        
 2060         0,13859       -119,80        
 2070         0,15858       -120,42        
 2080         0,1787        -121,12        
 2090         0,20506       -121,83        
 2100         0,23229       -122,60        
 2110         0,26575       -123,39        
 2120         0,30035       -124,21        
 2130         0,3343        -124,99        
 2140         0,36865       -125,73        
 2150         0,39685       -126,41        
 2160         0,42737       -127,04        
 2170         0,46097       -127,61        
 2180         0,48168       -128,05        
 2190         0,49608       -128,43        
 2200         0,50927       -128,77        
 2210         0,52308       -129,09        
 2220         0,53833       -129,42        
 2230         0,55129       -129,74        
 2240         0,56453       -130,07        
 2250         0,58008       -130,47        
 2260         0,59336       -130,97        
 2270         0,61296       -131,57        
 2280         0,63128       -132,25        
 2290         0,64798       -133,00        
 2300         0,67016       -133,87        
 2310         0,69668       -134,77        
 2320         0,72401       -135,71        
 2330         0,7471        -136,62        
 2340         0,76971       -137,52        
 2350         0,79366       -138,38        
 2360         0,81155       -139,19        
 2370         0,82723       -139,92        
 2380         0,83776       -140,48        
 2390         0,85555       -140,92        
 2400         0,87001       -141,28        
 2410         0,89001       -141,63        
 2420         0,91054       -141,93        
 2430         0,91968       -142,17        
 2440         0,93095       -142,43        
 2450         0,94372       -142,78        
 2460         0,9526        -143,19        
 2470         0,95495       -143,70        
 2480         0,95452       -144,22        
 2490         0,95758       -144,86        
 2500         0,95799       -145,62        
 2510         0,95555       -146,48        
 2520         0,95417       -147,37        
 2530         0,95005       -148,23        
 2540         0,94577       -149,12        
 2550         0,94774       -150,05        
 2560         0,95218       -150,91        
 2570         0,95575       -151,64        
 2580         0,95451       -152,27        
 2590         0,95646       -152,85        
 2600         0,95924       -153,38        
 2610         0,95811       -153,83        
 2620         0,95349       -154,21        
 2630         0,94677       -154,52        
 2640         0,94283       -154,85        
 2650         0,93703       -155,23        
 2660         0,92226       -155,63        
 2670         0,90607       -156,01        
 2680         0,89088       -156,44        
 2690         0,87645       -156,98        
 2700         0,86525       -157,65        
 2710         0,85486       -158,33        
 2720         0,84409       -159,04        
 2730         0,83361       -159,79        
 2740         0,82407       -160,59        
 2750         0,82018       -161,39        
 2760         0,80356       -162,06        
 2770         0,79211       -162,74        
 2780         0,77674       -163,34        
 2790         0,7648        -163,90        
 2800         0,74237       -164,47        
 2810         0,71886       -164,85        
 2820         0,69601       -165,19        
 2830         0,66791       -165,54        
 2840         0,64689       -165,92        
 2850         0,62716       -166,33        
 2860         0,60578       -166,68        
 2870         0,59086       -167,11        
 2880         0,58317       -167,61        
 2890         0,57781       -168,13        
 2900         0,5737        -168,73        
 2910         0,56964       -169,31        
 2920         0,57411       -169,98        
 2930         0,57686       -170,66        
 2940         0,57659       -171,34        
 2950         0,57471       -172,01        
 2960         0,57106       -172,54        
 2970         0,56189       -173,08        
 2980         0,55522       -173,61        
 2990         0,54332       -174,12        
 3000         0,52606       -174,58        
