theta,"TF dB (d=0.5, beta=0)","TF dB (d=0.5, beta=90)","TF dB (d=1.0, beta=0)","TF dB (d=1.0, beta=90)"
0.001,-184.18226634418875,-179.65399696082545,-62.09794808688444,-174.765747536805
0.004143736389979773,-147.15261080921044,-142.61881339189193,-49.75009402026123,-137.72668867059843
0.007287472779959546,-132.4416827826253,-127.90806483027673,-44.8463716214125,-123.01516344405789
0.01043120916993932,-123.09624436216778,-118.56299662860394,-41.73117762367511,-113.66894937753597
0.013574945559919092,-116.23204486519855,-111.69930914471728,-39.443055351605594,-106.80371626972389
0.016718681949898867,-110.80421166759136,-106.27212442325592,-37.63371003429144,-101.37458308852914
0.01986241833987864,-106.31440852712225,-101.78310506217178,-36.13702923808303,-96.88321204760265
0.023006154729858414,-102.48569602103137,-97.95531125950947,-34.86070023299425,-93.05266352244921
0.026149891119838186,-99.14814781119871,-94.61881650175701,-33.74808160821803,-89.71301137618954
0.029293627509817958,-96.18995519137121,-91.66181197043686,-32.761904672600004,-86.75244727770007
0.03243736389979773,-93.53361607266967,-89.0067954846454,-31.876336414460834,-84.0934696168834
0.035581100289777505,-91.12319309958094,-86.59782960141692,-31.072732194128942,-81.68014159514085
0.03872483667975728,-88.91698796107924,-84.39321592064424,-30.337193842433358,-79.47076552607662
0.04186857306973705,-86.88308437676642,-82.36103806837318,-29.659083987037075,-77.4334258168223
0.04501230945971683,-84.9965091084191,-80.4763227070248,-29.0300797217775,-75.54314997715623
0.0481560458496966,-83.2373535951131,-78.71916116984931,-28.443546484405324,-73.78003025325971
0.05129978223967637,-81.5894907610784,-77.07342626842978,-27.894110325487937,-72.12794043470619
0.05444351862965614,-80.03967411899934,-75.52587139581597,-27.37735760926742,-70.57363495715552
0.057587255019635915,-78.5768901462949,-74.06548290268609,-26.889619138904656,-69.10610127813297
0.060730991409615694,-77.19188301951002,-72.68300483172455,-26.427811734477714,-67.71608461101275
0.06387472779959547,-75.87679943212069,-71.37058373541426,-25.989319838797847,-66.39573274243048
0.06701846418957523,-74.62491883135078,-70.1214989128494,-25.57190559624454,-65.13832626870938
0.07016220057955501,-73.43044554985579,-68.92995454146248,-25.173639563233323,-63.93807072718113
0.07330593696953479,-72.28834653592087,-67.79091740723659,-24.792846618189838,-62.78993432598775
0.07644967335951455,-71.19422318179639,-66.6999887330937,-24.428063237577863,-61.68951977203672
0.07959340974949433,-70.14420899771005,-65.65330185294277,-24.078003387153743,-60.6329619446084
0.0827371461394741,-69.13488711913932,-64.64743971900053,-23.741531024311993,-59.61684540221753
0.08588088252945388,-68.16322320597845,-63.67936780101121,-23.41763773106557,-58.63813728135686
0.08902461891943365,-67.22651041095064,-62.7463790547095,-23.105424370112427,-57.69413226447327
0.09216835530941342,-66.32232390242584,-61.84604844469358,-22.804085925706666,-56.78240710233658
0.0953120916993932,-65.44848301770833,-60.97619509777732,-22.51289888802878,-55.90078276687035
0.09845582808937296,-64.60301956018202,-60.13485060018701,-22.231210685507513,-55.04729274781959
0.10159956447935274,-63.78415108102808,-59.32023227935025,-21.9584307786798,-54.22015633398871
0.10474330086933252,-62.99025823364722,-58.53072055837465,-21.694023111619725,-53.417755967163735
0.10788703725931229,-62.21986547780354,-57.76483966026718,-21.437499679953845,-52.63861794575409
0.11103077364929206,-61.47162455595794,-57.021241084329006,-21.188415022945783,-51.88139590060394
0.11417451003927183,-60.74430027716902,-56.298689390128665,-20.94636148478115,-51.144856578365186
0.11731824642925161,-60.036758232339835,-55.596049912823176,-20.710965119645227,-50.427867556207964
0.12046198281923139,-59.34795413425987,-54.91227810327105,-20.481882138409677,-49.72938658131142
0.12360571920921115,-58.676924531195944,-54.24641024169952,-20.25879581318254,-49.04845228389821
0.12674945559919093,-58.02277868697515,-53.59755531786475,-20.04141377070215,-48.38417605674959
0.1298931919891707,-57.38469145602528,-52.96488790617154,-19.82946561739821,-47.73573492967174
0.13303692837915046,-56.761897010574884,-52.34764189295294,-19.622700848522538,-47.10236529611166
0.13618066476913024,-56.153683300550206,-51.74510493644896,-19.420887001527927,-46.483357372462436
0.13932440115911002,-55.559387145815165,-51.15661355913164,-19.22380802024723,-45.87805028970607
0.1424681375490898,-54.97838987607237,-50.58154878768797,-19.031262801644452,-45.28582773270762
0.14561187393906957,-54.4101134466832,-50.01933226892816,-18.843063901226504,-44.70611405542388
0.14875561032904933,-53.854016969402124,-49.469422800608314,-18.65903637678152,-44.13837081102129
0.1518993467190291,-53.30959360594741,-48.93131322508773,-18.479016753085045,-43.58209364482107
0.15504308310900888,-52.776367779800275,-48.40452764122145,-18.302852092707212,-43.03680950547214
0.15818681949898866,-52.25389266790159,-47.888618896146234,-18.130399160144577,-42.502074136013384
0.16133055588896844,-51.74174793918553,-47.38316632390716,-17.96152366825736,-41.977469811769446
0.1644742922789482,-51.23953771136592,-46.88777370234054,-17.79609959748749,-41.4626032964977
0.16761802866892797,-50.74688870117526,-46.402067403405766,-17.634008579589036,-40.95710399198105
0.17076176505890775,-50.2634485464877,-45.925694715404816,-17.475139338685747,-40.46062225950328
0.17390550144888753,-49.78888428150313,-45.458322318266326,-17.31938718338185,-39.97282789438436
0.1770492378388673,-49.32288094854343,-44.99963489543758,-17.166653544444227,-39.49340873712264
0.18019297422884706,-48.865140332027146,-44.54933386796015,-17.01684555324741,-39.022069406716554
0.18333671061882684,-48.415379801942265,-44.107136238044234,-16.869875656755557,-38.55853014348205
0.18648044700880662,-47.97333125564877,-43.67277353097129,-16.725661265320568,-38.1025257501983
0.1896241833987864,-47.53874014814158,-43.24599082545963,-16.584124430008153,-37.653804621713824
0.19276791978876617,-47.11136460204963,-42.826545863768615,-16.445191546546372,-37.21212785428974
0.19591165617874592,-46.690974589629036,-42.41420823379407,-16.30879308331632,-36.77726842693477
0.1990553925687257,-46.27735117987307,-42.00875861628475,-16.174863331096248,-36.349010447860564
0.20219912895870548,-45.87028584461801,-41.60998809105344,-16.043340172519436,-35.927148459931956
0.20534286534868526,-45.469579818180435,-41.217697496721016,-15.914164869427063,-35.511486799650974
0.20848660173866504,-45.07504350564747,-40.83169683911437,-15.787281866491947,-35.1018390047954
0.2116303381286448,-44.686495935451084,-40.451804743947726,-15.662638609658739,-34.69802726634327
0.21477407451862457,-44.30376425230623,-40.07784794987103,-15.540185378096893,-34.299881920764605
0.21791781090860435,-43.92668324699672,-39.70966083836301,-15.419875128495473,-33.907240979162076
0.22106154729858413,-43.55509491983809,-39.347084997305814,-15.301663350646637,-33.5199496900937
0.2242052836885639,-43.18884807496856,-38.9899688153846,-15.185507933369678,-33.13786013322578
0.22734902007854366,-42.827797942888054,-38.6381671047389,-15.07136903991881,-32.760830841238636
0.23049275646852344,-42.47180582892253,-38.291540749536864,-14.95920899210277,-32.38872644766096
0.23363649285850321,-42.12073878550174,-37.94995637836548,-14.848992162415247,-32.02141735852277
0.236780229248483,-41.77446930634481,-37.61328605852745,-14.740684873543813,-31.658779445920345
0.23992396563846277,-41.43287504081745,-37.2814070105122,-14.63425530468174,-31.300693761758893
0.24306770202844252,-41.09583852688705,-36.954201341061705,-14.52967340412073,-30.947046270096617
0.2462114384184223,-40.76324694124018,-36.631555793402946,-14.42691080765009,-30.5977275966589
0.24935517480840208,-40.43499186525907,-36.313361513336304,-14.325940762330593,-30.252632794215657
0.25249891119838186,-40.110969065662005,-35.99951382998959,-14.226738055248331,-29.911661122629404
0.25564264758836164,-39.79107828872104,-35.6899120501499,-14.129278946890356,-29.574715842487368
0.2587863839783414,-39.47522306706229,-35.3844592651774,-14.0335411088138,-29.241704021322082
0.2619301203683212,-39.16331053813522,-35.0830621695884,-13.939503565308172,-28.91253635150826
0.2650738567583009,-38.855251273518405,-34.785630890474934,-13.847146638777408,-28.587126979002967
0.2682175931482807,-38.550959118294124,-34.492078826994224,-13.756451898590296,-28.265393342162422
0.2713613295382605,-38.2503510397884,-34.20232249922147,-13.667402113168652,-27.947256019930688
0.27450506592824025,-37.95334698503013,-33.91628140572423,-13.579981205103408,-27.632638588756354
0.27764880231822003,-37.65986974633327,-33.633877889258066,-13.49417420910401,-27.321467487639456
0.2807925387081998,-37.36984483445484,-33.355037010038345,-13.409967232604327,-27.013671890762076
0.2839362750981796,-37.08320035882126,-33.07968642608101,-13.327347418861034,-26.709183587196303
0.28708001148815937,-36.79986691435869,-32.80775628014587,-13.246302912395356,-26.40793686722352
0.29022374787813915,-36.51977747449461,-32.53917909285269,-13.166822826639953,-26.109868414834665
0.2933674842681189,-36.24286728993303,-32.27388966156894,-13.088897213664165,-25.8149172060115
0.29651122065809865,-35.969073792833626,-32.01182496470307,-13.012517035861315,-25.523024412422004
0.29965495704807843,-35.69833650605547,-31.752924071060207,-12.937674139491325,-25.234133310187946
0.3027986934380582,-35.430596957145355,-31.49712805394408,-12.864361229979348,-24.94818919340727
0.305942429828038,-35.16579859678083,-31.244379909712215,-12.792571848881188,-24.66513929213985
0.30908616621801777,-34.90388672139235,-30.99462448051029,-12.722300352431317,-24.384932694581526
0.31222990260799754,-34.64480839971286,-30.747808380933456,-12.653541891598064,-24.107520273175357
0.3153736389979773,-34.38851240301909,-30.503879928379213,-12.586292393575961,-23.832854614423724
0.3185173753879571,-34.13494913884494,-30.26278907687233,-12.520548544651318,-23.560889952182645
0.3216611117779369,-33.88407058796343,-30.024487354156886,-12.456307774382324,-23.291582104233402
0.32480484816791666,-33.63583024444657,-29.78892780186701,-12.393568241040976,-23.024888411942904
0.3279485845578964,-33.39018305862654,-29.55606491859797,-12.33232881826805,-22.760767682834285
0.33109232094787616,-33.14708538279217,-29.325854605711726,-12.272589082897216,-22.499180135902982
0.33423605733785594,-32.90649491946621,-29.098254115723833,-12.214349303908868,-22.240087349523726
0.3373797937278357,-32.66837067211957,-28.873222003125882,-12.157610432477917,-21.98345221180416
0.3405235301178155,-32.43267289818702,-28.65071807750933,-12.102374093083899,-21.729238873249944
0.3436672665077953,-32.199363064258826,-28.430703358864527,-12.04864257565541,-21.477412701615822
0.34681100289777506,-31.96840380332909,-28.213140034936433,-11.996418828724153,-21.227940238823727
0.34995473928775483,-31.73975887399088,-27.997991420526024,-11.94570645356723,-20.980789159837478
0.3530984756777346,-31.513393121474778,-27.78522191863448,-11.896509699320115,-20.7359282333908
0.3562422120677144,-31.28927244043218,-27.57479698335251,-11.848833459045096,-20.493327284470983
0.3593859484576941,-31.067363739373434,-27.366683084402478,-11.802683266743257,-20.25295715846646
0.3625296848476739,-30.8476349066746,-27.160847673249883,-11.75806529530173,-20.014789686894055
